FAMILIES, ORIGINAL NAMES,PLANT HABIT,POLLEN HABIT,PROPOSED NAMES,HABIT,Nb of sp. (g.) in tropical Africa,SAME TYPES,REMARKS,REVISED NOMENCLATURE 2019
AMARANTHACEAE/CHENOPODIACEAE,Chenopodiac-Amaranthacées,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Chenopodiacea/Amaranthaceae,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,mis-spelling,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Chenopodiaceae / Amaranthaceae,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Chenopodiaceae/Amarantaceae,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,mis-spelling,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Chenopodiaceae/Amaranthaceae,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Chenopodiaceae-Amaranthaceae,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Chenopodiaceae-Amaranthaceae sim,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Chenopodiacees - Amaranthacees,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Chénopodiacées - Amaranthacées,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE/CARYOPHYLLACEAE,Chénépodiacées-Caryophyllacées-Amaranthacées,H(STL),I,Amaranthaceae/Chenopodiaceae/Caryophyllaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,Chenopodiaceae now included in Amaranthaceae,mis-spelling,Amaranthaceae/Caryophyllaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE/CARYOPHYLLACEAE,Chénopod-Caryophyl-Amaranthacées,H(STL),I,Amaranthaceae/Chenopodiaceae/Caryophyllaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,Chenopodiaceae now included in Amaranthaceae,,Amaranthaceae/Caryophyllaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE/CARYOPHYLLACEAE,Chénopodiacées-Caryophyllacées-Amaranthacées,H(STL),I,Amaranthaceae/Chenopodiaceae/Caryophyllaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,Chenopodiaceae now included in Amaranthaceae,,Amaranthaceae/Caryophyllaceae undiff.
APIACEAE,Apiaceae (Umbelliferae),H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,,Apiaceae undiff.
APIACEAE,Apiaceae undiff.,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,,Apiaceae undiff.
APIACEAE,Cf Umbelliferae,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,syn. Apiaceae,Apiaceae undiff.
APIACEAE,Ombelliferae (non Heteromorpha),H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,syn. Apiaceae,Apiaceae undiff.
APIACEAE,Ombellifère,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,syn. Apiaceae,Apiaceae undiff.
APIACEAE,Ombellifères,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,syn. Apiaceae,Apiaceae undiff.
APIACEAE,Ombelliferes non déterminees,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,syn. Apiaceae,Apiaceae undiff.
APIACEAE,Ombellifères non déterminées,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,syn. Apiaceae,Apiaceae undiff.
APIACEAE,Ombrellifère,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,mis-spelling; syn. Apiaceae,Apiaceae undiff.
APIACEAE,Umbellifera,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,mis-spelling; syn. Apiaceae,Apiaceae undiff.
APIACEAE,Umbelliferae,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,syn. Apiaceae,Apiaceae undiff.
APIACEAE,Umbelliferae (3 sp),H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,syn. Apiaceae,Apiaceae undiff.
APIACEAE,Umbelliferae Indéterminées,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,syn. Apiaceae,Apiaceae undiff.
APIACEAE,Umbelliferae sp,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,syn. Apiaceae,Apiaceae undiff.
APIACEAE,Umbellifereae,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,mis-spelling; syn. Apiaceae,Apiaceae undiff.
APIACEAE,Umbellifereae undiff.,H(ST),I,Apiaceae undiff.,"herbs, rarely shrubs or small trees ",,,"mis-spelling, syn. Apiaceae",Apiaceae undiff.
APIACEAE,type Diplolophium/Pimpinella,HS,I,Diplolophium/Pimpinella,herbs or shrubs,,,,Diplolophium/Pimpinella
APIACEAE,Heteromorpha,HST(L),I,Heteromorpha-type,"perennial herbs, erect or scrambling shrubs or small trees",,Steganotaenia araliacea (T(S)),,Heteromorpha-type
APIACEAE,Heteromorpha sp.,HST(L),I,Heteromorpha-type,"perennial herbs, erect or scrambling shrubs or small trees",,Steganotaenia araliacea (T(S)),,Heteromorpha-type
APIACEAE,Heteromorpha-type,HST(L),I,Heteromorpha-type,"perennial herbs, erect or scrambling shrubs or small trees",,Steganotaenia araliacea (T(S)),,Heteromorpha-type
APIACEAE,Hetromorpha type,HST(L),I,Heteromorpha-type,"perennial herbs, erect or scrambling shrubs or small trees",,Steganotaenia araliacea (T(S)),mis-spelling,Heteromorpha-type
APIACEAE,type Heteromorpha,HST(L),I,Heteromorpha-type,"perennial herbs, erect or scrambling shrubs or small trees",,Steganotaenia araliacea (T(S)),,Heteromorpha-type
APOCYNACEAE,Apocynaceae undiff.,STL(H),I,Apocynaceae undiff.,"trees, shrubs or climbers, rarely herbs",,,,Apocynaceae undiff.
APOCYNACEAE,Apocynacees,STL(H),I,Apocynaceae undiff.,"trees, shrubs or climbers, rarely herbs",,,,Apocynaceae undiff.
APOCYNACEAE,Apocynacées,STL(H),I,Apocynaceae undiff.,"trees, shrubs or climbers, rarely herbs",,,,Apocynaceae undiff.
APOCYNACEAE,Clitandra,STL(H),I,Apocynaceae undiff.,"trees, shrubs or climbers, rarely herbs",,,syn. many genera,Apocynaceae undiff.
ASCLEPIADACEAE,Asclepiadaceae cf.,HL(S),I,Asclepiadaceae undiff.,"herbs, lianes or stem-succulents, rarely shrublets or shrubs",,,,Asclepiadaceae undiff.
ASCLEPIADACEAE,Asclepiadaceae undiff.,HL(S),I,Asclepiadaceae undiff.,"herbs, lianes or stem-succulents, rarely shrublets or shrubs",,,,Asclepiadaceae undiff.
ASCLEPIADACEAE,Asclepias,HL(S),I,Asclepiadaceae undiff.,"herbs, lianes or stem-succulents, rarely shrublets or shrubs",,,numerous synonymies,Asclepiadaceae undiff.
ASCLEPIADACEAE,Periplocaceae,HL(S),I,Asclepiadaceae undiff.,"herbs, lianes or stem-succulents, rarely shrublets or shrubs",,,syn. Asclepiadaceae,Asclepiadaceae undiff.
ASTERACEAE,Anthemidae,HS,I,Anthemideae undiff.,"herbs, more rarely shrubs",,,mis-spelling,Anthemideae undiff.
ASTERACEAE,Artemisia,HS,I,Artemisia,annual or perennial herbs or shrubs (ANTHEMIDEAE),,,,Artemisia
ASTERACEAE,Artemisia (Africa),HS,I,Artemisia,annual or perennial herbs or shrubs (ANTHEMIDEAE),,,,Artemisia
ASTERACEAE,Artemisia sp.,HS,I,Artemisia,annual or perennial herbs or shrubs (ANTHEMIDEAE),,,,Artemisia
ASTERACEAE,Artemisia spp.,HS,I,Artemisia,annual or perennial herbs or shrubs (ANTHEMIDEAE),,,,Artemisia
ASTERACEAE,Cf Artemisia,HS,I,Artemisia,annual or perennial herbs or shrubs (ANTHEMIDEAE),,,,Artemisia
ASTERACEAE,Asteraceae (echinate),HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteraceae echinulee,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteraceae échinulée undiff.,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteraceae I,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteraceae II,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteraceae III,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteraceae tubuliflorae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteraceae tubuliflorae a longues epine,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteraceae undiff.,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteraceae undiff.,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteraceae: Asteroideae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteroideae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteroideae undiff.,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Astreraceae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,mis-spelling,Asteraceae undiff.
ASTERACEAE,Comp.tub.,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Comp-Asterae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Composee echinul,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Composées,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Composées échinulées,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Composees non déterminees,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Composées non déterminées,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Composées tubiflores,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Composes,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Composés,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae - General,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,"Compositae (except Artemesia, Stoebe)",HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,"Compositae (except Artemisia, Senecio, Stoebe)",HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae (long spine),HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae echinate,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae Echinulees,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae tubu,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae tubul.,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae tubulifl.,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae tubuliflorae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae Tubuliflorae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae tubuliflorae a longues epine,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae tubuliflores,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Compositae:Tubuliflorae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Composite Tubuliflore,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Echinulées,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Eupatorieae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Other Compos,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,other Compositae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Other Compositae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,other Compositeae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,mis-spelling,Asteraceae undiff.
ASTERACEAE,Tubiflores exc Cynarees et Artemisia,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Tubiflores exepté Cynarées et Artemisia,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Tubuliflorae,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Tubuliflore,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Tubuliflores excepté Cynarées et Artemisia,HS(TL),I,Asteraceae undiff.,"herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent",,,,Asteraceae undiff.
ASTERACEAE,Asteriscus/Bellis type,HS,I,Asteriscus/Bellis,herbs or shrubs (ASTERACEAE),,,Bellis not in Lebrun & Stork,Asteriscus/Bellis
ASTERACEAE,Bidens-type,HS,I,Bidens-type,erect herbs or shrubs (HELIANTHEAE),,some Helichrysum (H),,Bidens-type
ASTERACEAE,Centaurea/Tarchonanthus,HST,I,Centaurea/Tarchonanthus,"herbs, subshrubs, shrus or trees",,,,Centaurea/Tarchonanthus
ASTERACEAE,Asteraceae fenestree,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,mis-spelling,Cichorieae undiff.
ASTERACEAE,Asteraceae liguliflorae,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,mis-spelling,Cichorieae undiff.
ASTERACEAE,Cichoreae,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,mis-spelling,Cichorieae undiff.
ASTERACEAE,Cichoriae,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,mis-spelling,Cichorieae undiff.
ASTERACEAE,Cichoriaea,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,mis-spelling,Cichorieae undiff.
ASTERACEAE,Cichorieae,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Cichorieae undiff.,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Cichorioideae,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Cichorioideae ssp.,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Comp.lig.,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Composée liguliflore,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,mis-spelling,Cichorieae undiff.
ASTERACEAE,Composées fenestrées,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,mis-spelling,Cichorieae undiff.
ASTERACEAE,Composées liguliflores,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,mis-spelling,Cichorieae undiff.
ASTERACEAE,Composées non déterminées,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,mis-spelling,Cichorieae undiff.
ASTERACEAE,Compos-Fenestr.,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,mis-spelling,Cichorieae undiff.
ASTERACEAE,Compositae Fenestrees,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Compositae ligu,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Compositae ligul.,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Compositae liguliflorae,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Compositae Liguliflorae,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Compositae liguliflorae (autre espece),H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
ASTERACEAE,Compositae liguliflores,H(ST),I,Cichorieae undiff.,"annual or perennial herbs, rarely shrubs or trees",,,,Cichorieae undiff.
